% positionObs.txt
% 
% This file contains position observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.5m has been
% added to the true position.
%
% time(s) time(micro-seconds) X(m) Y(m)
%
1115116295 827877 -1.085184 -0.431648
1115116296 646972 -0.836344 -0.344432
1115116297 467300 -0.566358 0.286344
1115116298 286937 -0.944985 -0.420107
1115116299 106639 0.229902 -0.142222
1115116299 926495 0.240461 0.344956
1115116300 743234 -1.312967 0.160693
1115116301 566072 -0.670159 0.784448
1115116302 385856 -0.286855 -0.012121
1115116303 201067 -1.130114 -0.004825
1115116304 25275 0.659830 -0.181055
1115116304 842534 -0.007331 -0.266965
1115116305 664958 0.199210 0.476179
1115116306 484317 -0.688706 -0.647920
1115116307 304637 -0.025481 -0.140760
1115116308 124802 0.724435 -1.289794
1115116308 944534 0.239017 0.400039
